recipe_id,PRR (Hz),PW (us),pos. Delay (us),pos. PW (us),pos. Setpoint (V),rate_A_s,repeat_count
AL120-0000,4387.16180405,16.60070659,23.72440674,9.91091424,81.49458928,1.3113355780022449,1
AL120-0001,907.97829067,81.40646001,35.22240072,29.30370883,1.70592324,1.2979337924905576,1
AL120-0002,3938.46555799,89.10817224,5.45208236,6.19712275,18.34796332,1.3625126331337947,1
AL120-0003,1043.67624456,93.64797232,5.44762927,37.33204253,74.00029348,1.3231164125018873,1
AL120-0004,617.441779,15.10674851,33.18812601,39.62782733,83.84545734,0.7834599910594546,1
AL120-0005,1418.54740912,8.90132028,4.43230087,15.29579878,11.79870721,0.6165916127216438,1
AL120-0006,1451.29997237,77.95322942,24.11475423,3.35104384,98.28942083,1.3588153202046844,1
AL120-0007,4556.67396635,70.47935356,24.97984415,37.66117465,74.62251727,1.3975537292124849,1
AL120-0008,3722.74860041,51.55287459,2.19015842,38.66051458,0.37075188,1.4239519012024713,1
AL120-0009,2990.26570795,10.56031904,38.96514633,6.56413995,5.58841573,0.974289129165857,1
AL120-0010,4685.81243977,96.73077893,36.24485886,26.07569195,10.55085231,1.207523770152957,1
AL120-0011,1637.21126365,69.42278007,39.60694275,29.18953348,95.05492859,1.4673476222371078,1
AL120-0012,575.56784851,57.59202975,3.11168667,2.53368005,49.0732614,1.1731683617283142,1
AL120-0013,3879.92656417,19.2667114,1.73722043,34.73659173,79.3165585,1.1113506658211805,1
AL120-0014,618.1383403,12.71393204,21.91274442,3.97181753,93.00430594,0.6068979846249746,1
AL120-0015,4728.81747875,44.98715629,15.25270379,6.48166202,5.56047289,1.196933346551664,1
AL120-0016,1523.98137003,40.40558571,32.37297866,2.61225082,22.59260109,1.4103729932000175,1
AL120-0017,626.526115,38.30894217,3.00275553,10.49192116,83.5522308,1.0323682737902404,1
AL120-0018,3343.13263744,98.86972939,39.9444419,27.9750796,93.70539878,1.1623557500994839,1
AL120-0019,4964.29332718,23.3457343,35.74440689,38.45924608,3.71232051,1.4425878673141836,1
AL120-0020,3529.01938651,56.89987611,28.57449233,4.24098104,88.03815302,1.1976628967779421,1
AL120-0021,553.32583562,78.24528646,2.08487422,39.69369713,64.3069502,1.2054474172914242,1
AL120-0022,2776.49134863,39.01408466,24.26441709,39.30262979,88.72071924,1.2961780704265642,1
AL120-0023,4916.23423947,97.11912773,4.02408793,34.74590145,51.51633257,1.1279080992373791,1
AL120-0024,768.00318994,97.24833207,3.0588993,17.04230446,20.74306803,1.3528367425704373,1
AL120-0025,2172.78308794,5.75839509,29.11709045,32.51088668,99.54055641,0.5176117526008904,1
AL120-0026,2342.52045769,93.80793027,5.332779,37.89055441,25.48564803,1.2918325130180435,1
AL120-0027,761.28615905,43.8901757,38.31621737,39.99028374,47.93314338,1.3848365513286192,1
AL120-0028,4826.16320485,45.65678482,32.97438888,16.55589946,98.47146757,1.1445177300333063,1
AL120-0029,4984.83734252,6.92797923,8.35533918,29.77725331,15.8518726,0.772717252325736,1
AL120-0030,3739.88587921,25.42087127,15.75373063,2.8638934,3.30633866,1.3503871787957018,1
AL120-0031,1281.21407051,72.37417522,11.46815861,3.14613417,2.30615009,1.1430993999478227,1
AL120-0032,3650.32862592,80.52253524,38.97160577,0.67156211,61.98857324,1.3146800690120783,1
AL120-0033,887.62365188,24.51617463,2.44083709,16.21330757,93.58193325,1.12801699169724,1
AL120-0034,553.62058105,95.57433678,28.37900679,4.73576184,96.49042292,1.0075019401569383,1
AL120-0035,1487.14637989,56.05627181,33.09127598,35.52040935,5.27614336,1.3896715776549993,1
AL120-0036,4523.54967827,68.29091203,5.70896585,15.50490379,28.86891384,1.237580764749498,1
AL120-0037,1233.53954451,27.18694971,39.125504,9.13128275,28.8743942,1.2893875298878072,1
AL120-0038,4034.05547654,33.03472019,1.58742641,12.68983044,8.00012909,1.096590977898877,1
AL120-0039,1360.78345636,46.88246536,9.7936036,38.0005927,11.77851642,1.1940725600408801,1
AL120-0040,4108.41722786,61.29989856,39.97348516,7.11379278,46.84829582,1.1936252809371395,1
AL120-0041,1271.66202851,66.00323472,5.15968684,33.97353116,66.51829267,1.234399211156502,1
AL120-0042,4312.15088861,85.00864599,25.56380975,38.90543219,44.27234214,1.2423619479690948,1
AL120-0043,4385.66028001,33.71219554,35.06264073,11.21361829,2.92404275,1.3691652669817598,1
AL120-0044,4960.38429253,78.70217805,13.79419508,2.4694458,73.12341779,1.129434509424844,1
AL120-0045,4153.69245084,99.77168771,24.1456985,1.06021915,14.42763573,1.3176948235028774,1
AL120-0046,1536.41291847,94.32954737,35.19407802,1.91639788,1.92957819,1.3403693931398428,1
AL120-0047,4316.44092268,47.01955244,9.27367318,3.10637076,93.83952397,1.2540517333905774,1
AL120-0048,2319.43353219,17.36895545,1.69751,0.91475938,2.78593805,1.0840265965671882,1
AL120-0049,4032.13235363,79.3449268,2.33430037,35.66860303,42.49039972,1.0900270547625723,1
AL120-0050,2734.2317584,26.6321093,37.54086632,9.80155107,98.42808899,1.4177891032641683,1
AL120-0051,4920.92857463,92.93321988,34.25432116,2.88178667,63.27913804,1.070388127156687,1
AL120-0052,699.94742515,23.44352777,6.46164584,35.62778086,9.74422672,1.135186636161341,1
AL120-0053,4425.29972084,51.80367385,36.23026202,11.42280359,2.15437254,1.0840265965671882,1
AL120-0054,1855.65266665,97.90078934,19.39725065,2.00800251,23.30506649,1.2548149208849442,1
AL120-0055,1258.44121491,71.96299372,15.76708666,34.29681177,94.64654377,1.2651411246661386,1
AL120-0056,1143.3713343,7.30050559,13.74501765,35.35274798,83.26900736,0.41707429413661473,1
AL120-0057,656.73485864,48.18049605,31.8720463,14.67455022,95.98348588,1.1756104105178526,1
AL120-0058,4886.89899072,56.64919479,7.60597944,3.91996961,51.62212057,1.15783013138125,1
AL120-0059,1479.01439993,5.18531958,33.34788188,29.39032573,23.30312785,0.3496245101256747,1
AL120-0060,1580.79152089,63.76406515,37.17514573,8.54820546,6.89031826,1.3918610459977776,1
AL120-0061,2551.6611333,88.59435772,4.0127533,7.97337051,84.98611404,1.2411741793845932,1
AL120-0062,3218.42126315,69.1679204,38.35248807,25.19786622,8.985407,1.35823613748209,1
AL120-0063,4535.29233485,32.3903941,21.91650965,1.4976294,88.7288738,1.3411982522402297,1
AL120-0064,794.33701746,96.72352525,37.93528713,39.3687553,41.3715045,1.0995203691336182,1
AL120-0065,4938.65648843,14.67863079,5.13539722,4.49539628,47.42412604,1.2321121202843708,1
AL120-0066,4110.31846981,9.49007615,1.78345936,4.83018722,99.91593082,0.8522647591707956,1
AL120-0067,4179.7435442,6.01320884,34.88576878,4.7256064,97.74063397,0.7219101907400324,1
AL120-0068,1088.32632843,34.28385535,32.17232517,39.08294491,98.25769495,1.3090827606812179,1
AL120-0069,3432.24682333,53.78418027,3.70921717,38.08980193,92.96162296,1.1300159111471677,1
AL120-0070,4825.12641372,10.76826945,32.55871705,39.51645572,8.5957665,0.9779517779517684,1
AL120-0071,2666.37374787,19.40085393,37.84023047,36.11162663,8.8420908,1.2413500017707368,1
AL120-0072,2729.16024178,99.33036111,4.8504977,16.04484875,99.79306236,1.1251366799204823,1
AL120-0073,3558.25426616,76.45685668,39.80457958,36.0897861,97.86001621,1.3563965637334685,1
AL120-0074,1413.99531905,35.93405494,24.57346553,38.65894228,12.19062954,1.353477074847713,1
AL120-0075,4677.7221011,42.86458824,3.35946781,36.4614458,98.87745278,1.1415358561844688,1
AL120-0076,1482.16182552,87.99227459,32.40844898,35.91169357,90.32328296,1.1387556198321014,1
